,Course,Description,Image,Instructor,Link,Price
0,JavaScript: Understanding the Weird Parts,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",https://udemy-images.udemy.com/course/125_H/364426_2991_5.jpg,Anthony Alicea,/understand-javascript/,$174.99
1,Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",https://udemy-images.udemy.com/course/125_H/289230_1056_16.jpg,Anthony Alicea,/learn-angularjs/,$174.99
2,Webpack 2: The Complete Developer's Guide,"Master Webpack 2 as you deploy web apps supported by Babel, code splitting, and ES2015 Modules.",https://udemy-images.udemy.com/course/125_H/1039062_e553_4.jpg,Stephen Grider,/webpack-2-the-complete-developers-guide/,$74.99
3,Blockchain and Bitcoin Fundamentals,Learn the key elements of blockchain and Bitcoin in this bestselling video course and accompanying PDF glossary.,https://udemy-images.udemy.com/course/125_H/1151036_64b6_6.jpg,George Levy,/blockchain-and-bitcoin-fundamentals/,$94.99
4,Build Responsive Real World Websites with HTML5 and CSS3,"The easiest way to learn modern web design, HTML5 and CSS3 step-by-step from scratch. Design AND code a huge project.",https://udemy-images.udemy.com/course/125_H/437398_46c3_9.jpg,Jonas Schmedtmann,/design-and-develop-a-killer-website-with-html5-and-css3/,$199.99
5,"Reiki Level I, II and Master/Teacher Program","Learn Reiki Levels 1, 2 and Master Level to become a Certified Traditional Usui Reiki Practitioner/Instructor",https://udemy-images.udemy.com/course/125_H/59527_ac27_15.jpg,Lisa Powers,/reikicourse/,$194.99
6,C# Advanced Topics: Take Your C# Skills to the Next Level,"The advanced C# constructs that every C# coder must know: Events, Delegates, Lambda Expressions, LINQ, Async and more",https://udemy-images.udemy.com/course/125_H/356030_0209_4.jpg,Mosh Hamedani,/csharp-advanced/,$149.99
7,"C# Intermediate: Classes, Interfaces and OOP","An in-depth, step-by-step guide to classes, interface and object-oriented programming, with many real-world examples.",https://udemy-images.udemy.com/course/125_H/383576_fd27_3.jpg,Mosh Hamedani,/csharp-intermediate-classes-interfaces-and-oop/,$149.99
8,Cryptocurrency ICO Investing Course 2018: Identify the Best!,Learn how to pick the most high-quality and game-changing ICOs in 2018 and onwards to help build your Retirement fund!,https://udemy-images.udemy.com/course/125_H/1477512_a237.jpg,Suppoman ™,/cryptocurrency-ico/,$199.99
9,ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,https://udemy-images.udemy.com/course/125_H/861624_864d_2.jpg,Stephen Grider,/javascript-es6-tutorial/,$79.99
