,name,company,desc,image,link,provider,subjects
0,Software Engineer - Fullstack,Vlocity,"<p>Company Description</p>

<p>Vlocity is a fast-growing enterprise applications company focused on bringing industry-specific business processes to the cloud. With 300 employees around the world and customers on six continents, Vlocity has been the fastest-growing independent software vendor on the Salesforce platform for two years running. Vlocity is currently shipping version 15 of its application suite, and has raised over $100MM in capital from investors including Salesforce.com, Accenture and Sutter Hill Ventures.</p>

<p>Vlocity develops software to help communications, media &amp; energy providers, insurance carriers and government agencies digitally engage customers through their channels and devices of choice. We serve dozens of the world’s Fortune 5000 companies including Sky Italia, Telecom Italia, TELUS, 3, Telecom Argentina, Cellcom, New York Life, Farmers Insurance, Harvard Pilgrim, and Anthem. Our solutions run on our customers’ web sites, in their contact centers and on the mobile devices of their service and sales professionals – providing a compelling, modern, omnichannel experience. Despite the complexity and sophistication of the enterprise business processes we enable, we believe the user experience should be as simple and compelling as a consumer application.</p>

<p>Job Description</p>

<p>Vlocity, Inc. is recruiting full stack application developers to join our fast growing startup. These
developers will have the unique opportunity to shape and create Vlocity's vertical apps from the ground
up built on the Salesforce Platform.</p>

<p>As an early developer, you will be responsible for designing and implementing product requirements that are highly usable, scalable, extensible, and maintainable, in large part on the Force.com platform. You will work in a highly agile environment, with product managers, engineers and customers, as well as with our leadership team, using iterative and test-driven design methods. You will be developing modern, web-based applications for the Salesforce1 Platform using Visualforce, Apex, Javascript, HTML/CSS, and other technologies. An understanding of relational &amp; NoSql databases is a plus.</p>

<p>We are going to build our industry apps on modern technology stacks. Force.com and Salesforce1 will be our cloud-based CRM platform. We will add additional technology stacks as needed and you'll be part of that analysis and development process.</p>

<p>Responsibilities</p>

<p>● Design and develop products in Visualforce, Apex, SalesForce1, Javascript, HTML/CSS, and
related technologies.</p>

<p>● Object and entity modelling on Force.com platform.</p>

<p>● Write create clean, effective code for simple or complex user tasks.</p>

<p>● Work in an agile, rapid development and prototyping environment where effective communication
is paramount.</p>

<p>● Contribute to building a positive, can-do, high-performance culture.</p>

<p>Experience</p>

<p>● 3+ years of product development experience.</p>

<p>● Experience with the Spring framework, JDBC, Maven and other Java related technologies.</p>

<p>● Excellent understanding of object-oriented design patterns &amp; experience with OO languages
(Java, Ruby, Python, Scala etc).</p>

<p>● Excellent Data Structure and Algorithms experience.</p>

<p>● Experience building web-based user interfaces, with a deep understanding of HTML, Javascript,
and CSS.</p>

<p>● Experience with and knowledge of relational databases.</p>

<p>● Familiarity with JavaScript libraries such as jQuery, AngularJS, Backbone.</p>

<p>● Experience and desire to work within a fast-paced, iterative development environment;</p>

<p>● Experience with Agile development is a strong plus.</p>

<p>● Experience with Force.com and the SalesForce1 platform is a plus.</p>

<p>● Stellar academic background, Bachelor degree or equivalent experience required, specializing in
computer science or similar engineering discipline.</p>",http://github-jobs.s3.amazonaws.com/fc87ecf2-2221-11e8-853f-63848354227a.jpg,http://jobs.github.com/positions/01e73658-2222-11e8-9d65-a99426a7533d,Github Jobs,"Computer Science, Web Development, Data & Analytics, Mobile Apps, Databases, Software Testing, Communications, Web Design, Software Engineering, User Experience, Leadership, Management, Productivity, Media, Production, Sales, Industry, Salesforce"
1,Software Engineer,Tetchy Tech,"<p>SUMMARY - Software Engineer
The Software Engineer's primary responsibility is to develop new and upgrade existing internal programs and software that help facilitate the device testing and inventory processes. This role will also include some web development tasks including working with APIs from various companies (including but not limited to eBay, Amazon, USPS, FedEx, etc.) to integrate our internal systems with theirs. Currently, the devices we handle are consumer electronics (including but not limited to phones, iPads, and other such gadgets) so basic knowledge of these items is required, though this list may expand in the future. This position works under general supervision and interacts with upper management daily.</p>

<p>Please note, we are looking for in-house development, not remote. Candidates will need to be local to us in Eden Prairie, MN</p>

<p>ESSENTIAL JOB DUTIES &amp; RESPONSIBILITIES</p>

<ul>
<li>Develop new and upgrade existing software to facilitate testing and inventory control processes, seeking to automate as many tasks as possible for the team.</li>
<li>Analyze existing code base to ensure optimal language(s) are used, potentially converting existing code to a different language.</li>
<li>Work with upper management to address bugs, issues, or other such problems as they arise.</li>
<li>Pivot between multiple different projects as needed, taking lead on each one.</li>
<li>Assist with development of website and backend integrations.</li>
<li>Develop tools for Android and iOS platforms that achieve the above.</li>
<li>Communicate all issues to upper management that could result in process delays, safety issues, or otherwise cause a loss to the company or its associates.</li>
<li>Work closely with other team members of all departments to ensure that all software needs are met.</li>
</ul><p>BASIC &amp; PREFERRED QUALIFICATIONS</p>

<ul>
<li>Must be at least 18 years of age.</li>
<li>Previous software development experience required.</li>
<li>Working knowledge of programming languages, primarily: Ruby, JavaScript, Node.JS, Swift, MySQL/NoSQL Databases — languages may also include Java and Rails. Note that you will not necessarily need to learn all of these together, but the ability to create and edit code is the requirement and known languages can be addressed in the interview process.</li>
<li>Knowledge of Excel a plus, but not required.</li>
<li>Previous experience with mobile device testing or refurbishment preferred.</li>
<li>Working knowledge of mobile operating systems (Android, iOS, Windows, etc.) and their development languages highly preferred.</li>
<li>High school diploma or GED required, college preferred.</li>
<li>Must be available to work for extended periods during high volume periods (up to 8 hours per day, with possibility of weekend shifts) or to address ""business critical"" issues.</li>
<li>Experience with aforementioned APIs (eBay, Amazon, USPS, FedEx) is ideal.</li>
</ul><p>MINIMUM QUALIFICATIONS, JOB SKILLS, &amp; ABILITIES</p>

<ul>
<li>Ability to communicate effectively with others using spoken and written English.</li>
<li>Ability to work under demanding time constraints and production goals.</li>
<li>Ability to work in a fast-paced environment and shift task priorities if necessary.</li>
</ul><p>Salary will be based on experience, competence, and proven efficiency.</p>",http://github-jobs.s3.amazonaws.com/ff13bf34-1810-11e8-89a5-c079366b6f26.jpg,http://jobs.github.com/positions/024014fa-1811-11e8-9d37-b180cb9e42a9,Github Jobs,"Web Development, Programming Languages, Operating Systems, Project Management, Databases, Software Testing, Development Tools, Communications, Software Engineering, Management, Productivity, Production, English, Test Taking Skills, Operations, Other Programming"
2,Cyber Security Incident Management Investigator Job,SAP,"<p>View job and apply on the corporate career site <a href=""https://jobs.sap.com/job/Palo-Alto-Cyber-Security-Incident-Management-Investigator-Job-CA-94301/437521001/?utm_source=github&amp;utm_campaign=sap_sgs"">here</a>.</p>

<p>TASKS &amp; EXPECTATIONS</p>

<ul>
<li>take responsibility for the outcomes of your assigned projects and tasks</li>
<li>independently/autonomously solve complex technical tasks</li>
<li>work on large complex activities using your creativity and your professional expertise and specialist knowledge to deliver high quality results/solutions</li>
<li>collaborate in designing long-term concepts</li>
<li>work independently while setting priorities and providing regular project status and updates</li>
<li>make decisions independently and help enhancing current and future design and strategy</li>
</ul><p>SKILLS &amp; COMPETENCIES</p>

<ul>
<li>professional fluency in English required, German or other languages a plus</li>
<li>advanced IT security knowledge (system and network security)</li>
<li>advanced IT knowledge (Operating systems, networking, databases)</li>
<li>2-5 years full-time experience in the field of Information Technology (preferably IT security)</li>
<li>bachelor degree (or equivalent) a must, Master a plus, international degrees preferred</li>
<li>scripting language knowledge is an advantage</li>
<li>strong foundation in norms and standards (ISO 27001, 27035, …)</li>
</ul><p>View job and apply on the corporate career site <a href=""https://jobs.sap.com/job/Palo-Alto-Cyber-Security-Incident-Management-Investigator-Job-CA-94301/437521001/?utm_source=github&amp;utm_campaign=sap_sgs"">here</a>.</p>

<p>View all SAP Global Security jobs on the corporate career site <a href=""https://jobs.sap.com/search/?q=sapglobalsecurity&amp;locationsearch=&amp;optionsFacetsDD_department=&amp;optionsFacetsDD_customfield3=&amp;optionsFacetsDD_country=?utm_source=github&amp;utm_campaign=sap_sgs"">here</a>.</p>",http://github-jobs.s3.amazonaws.com/f4af6d58-1497-11e8-85ed-2e0c9c92c997.png,http://jobs.github.com/positions/0276f780-1498-11e8-8a1d-348d890a5230,Github Jobs,"Operating Systems, Network & Security, Databases, Creativity, Management, Strategy, English, German, Operations, SAP"
3,Backend Web Developer (Node),ScaleLab,"<p><strong>Who We Are</strong></p>

<p>ScaleLab is a leading digital talent network on a mission to help online influencers expand their audience and overall career through technology and top-level agency services. We represent thousands of established social media stars and pride ourselves on providing each of them with the tools, support, community and resources they need to grow on and beyond the digital platforms they’ve mastered. Developing cutting-edge technology that utilizes years of industry experience combined with the enormous amounts of data provided by our large client-base is the core of the future of our company. This is where you come in!</p>

<p><strong>Who are we looking for</strong></p>

<p>Are you a type of person who loves to dive into a new technology stack? Are you self-motivated to explore and embrace new trends, routines, and technology? Do you love to work in a small and productive team? </p>

<p>We are looking for an experienced, LA-based Backend Engineer who will play a key role in ScaleLab’s vision for an integrated experience for brands and influencers. You will be a part of a small, highly-collaborative engineering team building a new product that’s meant to revolutionize the influencer marketing industry.  </p>

<p><strong>Requirements</strong></p>

<ul>
<li>5+ years of back end development (Node)</li>
<li>Strong critical thinking and problem solving skills, motivation, and passion</li>
<li>Expert level ES6/7 JavaScript with Koa/Express frameworks</li>
<li>Practical experience building and consuming RESTful APIs</li>
<li>Strong knowledge of SOLID (object-oriented design), and Object-relational mapping</li>
<li>Experience in SOA (Service-oriented architecture)</li>
<li>Strong MySQL knowledge (table design, complex query creation, best practices)</li>
<li>Solid understanding of the full web technology stack (e.g. HTTP, cookies, asset loading, caching, REST)</li>
<li>Solid fundamental understanding of testing (including stubbing, functional, unit, and e2e)</li>
<li>Experience using CI/CD tools and systems such as Jenkins, Hudson, GitLab, GitHub, etc.</li>
<li>Experience with Websockets is a plus</li>
</ul><p><strong>Responsibilities</strong></p>

<ul>
<li>Design, develop, and maintain various backend APIs using Node and Koa</li>
<li>Write and maintain clean, well-written, test-driven JavaScript code and documentation conforming to standards</li>
<li>Troubleshoot, identify and resolve API performance problems</li>
<li>Optimize database schema, queries, and caching</li>
<li>Collaborate with peers on best practices and promote knowledge sharing</li>
<li>Release early, release often</li>
</ul>",http://github-jobs.s3.amazonaws.com/a4b23ba6-1e46-11e8-8c7d-44b5abe23baa.png,http://jobs.github.com/positions/037fa17c-1e48-11e8-9be6-29a2d796edb1,Github Jobs,"Web Development, Data & Analytics, Network & Security, Databases, Development Tools, Web Design, Social Media Marketing, Digital Marketing, Influence, Marketing Fundamentals, Motivation, Productivity, Career Development, Design Tools, Branding, Media, Production, Architectural Design, Industry, Product Marketing, Design Thinking, Personal Brand Building"
4,PHP Full Stack Developer,Budget Dumpster,"<p>Want to work for one of the fastest growing tech companies in the U.S.? Budget Dumpster, a fast-growing technology, digital marketing and sales organization in Westlake, Ohio is seeking a motivated 
Full Stack Developer to work on new and existing internal applications.</p>

<p>This is a new software development role and the ideal Full Stack candidate will be responsible for building and maintaining internal applications, mission critical Web APIs and eCommerce initiatives. <strong>The right candidate will be able to demonstrate practical experience with Object Oriented PHP, JavaScript, semantic HTML, CSS, and have familiarity with LAMP and/or LEMP stack.</strong></p>

<p>This position reports directly to the Director of Web Development, and will work with a team of developers and marketers. This person will play a key role in developing and implementing impactful technology to elevate Budget Dumpster in the waste service industry.</p>

<p><em>Salary will be commensurate with experience.</em></p>

<h2>Who we are</h2>

<p>Based in Westlake, Ohio with a growing team of over 100 employees, Budget Dumpster has been recognized as a Cleveland Technology Award honoree (2017), one of America’s fastest growing tech companies by Deloitte (2016), one of the fastest-growing private companies by the Inc. 5000 (2017, 2016, 2015), one of the top fastest-growing companies in Northeast Ohio by Crain’s (2017, 2016, 2015), and top workplace by The Plain Dealer (2017, 2016, 2015).</p>

<p>In addition, our co-founders were named Entrepreneurs of the Year by EY (2016) and received the Inspiring Scaleup CEO Award from JumpStart (2016).</p>

<h2>Here’s what an ordinary day of work might look like</h2>

<ul>
<li>Work with a talented team of passionate developers</li>
<li>Make an immediate impact with code, collaboration and provide creative solutions</li>
<li>Collaborate with our development team to implement marketing and strategic technology features</li>
<li>Opportunity to increase business knowledge and integrate with cross-functional teams</li>
<li>Build and implement strategic internal applications that align with core business initiatives</li>
<li>Refactor and maintain a proprietary content management system that will scale digital marketing efforts</li>
<li>Develop software to help improve our client and vendor experiences</li>
</ul><h2>This job is for you if</h2>

<ul>
<li>You are ambitious and passionate about technology</li>
<li>You love authoring new code, trouble shooting and mentoring team members</li>
<li>You have intimate knowledge of large PHP application and frameworks with a focus on performance</li>
<li>You appreciate the design and user-experience of products</li>
<li>You collaborate well with cross-functional teams and are excited by the chance to learn from others</li>
</ul><h2>And you’re comfortable with our technology</h2>

<ul>
<li>HTML / CSS</li>
<li>Sass, Gulp, Webpack, NPM, Babel, Jasmine, Karma</li>
<li>JavaScript (ECMAScript 5.1 and up) / jQuery (version 3 and up)</li>
<li>Vue.js, AngularJS, Foundation, Bootstrap</li>
<li>Web Sockets</li>
<li>PHP 5 – 7, PHPUnit</li>
<li>MySQL</li>
<li>LAMP (Ubuntu)</li>
<li>Laravel, SlimPHP, Composer</li>
<li>Git, Github</li>
<li>CMS experience</li>
</ul><p>Budget Dumpster is able to provide the right candidate with a casual, open work environment, opportunities to learn and grow technical skills, and offers health (including vision and dental) insurance, Paid Time Off, 401K, Life Insurance, Long Term Disability, Short Term Disability and a number of company events throughout the course of the year. If you're looking for an opportunity to be challenged, to learn and grow your technical skills, and to have an immediate impact on high ranking websites and mission critical applications; please send your resumé and any code examples or project URLs to <a href=""mailto:careers@budgetdumpster.com"">careers@budgetdumpster.com</a></p>",http://github-jobs.s3.amazonaws.com/d685e410-1578-11e8-9edb-c188d65e8496.png,http://jobs.github.com/positions/042841ee-157c-11e8-9c1b-262a0590b19e,Github Jobs,"Web Development, Project Management, Web Design, Digital Marketing, User Experience, Creativity, Management, Motivation, Content Marketing, Productivity, Production, Sales, Industry, Product Marketing"
5,Full-Stack Engineer,dock.io,"<p>Interested in contributing across the complete stack on a system that will transform how user data will be managed for every consumer app across the web?</p>

<p>We're looking for a <strong>seasoned full-stack engineer</strong> who has ideally worked in both small scrappy teams, as well as larger structured team. Someone who is comfortable up and down the stack and has the ability to own features.</p>

<p>We look for self-starters and an entrepreneurial mentality. We ship every week. You should be someone that likes to ship and can work with our entire stack - Python, Javascript(multiple frameworks), Flask. </p>

<p><strong>The role</strong>: 
Work with our product, design, and engineering teams to understand experiences and goals and execute world-class code. </p>

<p><strong>Your background</strong>  </p>

<ul>
<li>A full-stack generalist with deep experience building web applications</li>
<li>Comfortable working with everything from CSS to API’s</li>
<li>You’ve built and managed a large scale code base</li>
<li>Self starter with an entrepreneurial mindset and a passion for excellence</li>
<li>Ability to excel in a distributed team</li>
<li>Strong verbal and written communication skills</li>
</ul><p>Big Plus:</p>

<ul>
<li>Open source experience</li>
<li>Blockchain experience: Solidity Smart Contracts, IPFS: the more experience the better.</li>
</ul><p><strong>Benefits</strong>:</p>

<p>Token package: you will receive tokens as a part of your comp package. </p>

<p>Remote: we are headquartered in San Francisco, but the majority of our team is remote. Whether in SF or not, you will have the opportunity to work the majority of your week in a remote capacity.</p>

<p>Following: dock.io has one of the largest and fastest growing communities in crypto, as well as an ""alpha"" app, which is growing by more than 3,000 new registered users per day.</p>

<p>Company retreat: annual team retreat in an international location.</p>",http://github-jobs.s3.amazonaws.com/fa96d17e-2334-11e8-9ba7-5f2aa384a31c.png,http://jobs.github.com/positions/04b675e2-2335-11e8-82e2-16702cee4ab6,Github Jobs,"Data & Analytics, Communications, Web Design, User Experience, Management, Productivity, Production, Fitness"
6,Senior Full - Stack Engineer,Devoted Health,"<p><strong>A bit about us:</strong></p>

<p>Devoted Health is a new health care company looking to improve the lives of seniors in America. We are guided by a deep belief that every senior should be treated like we would treat our own family members: with loving care and a profound commitment to their health and well-being.  With aging demographics and rising health costs, this is an industry and problem space that needs today’s best talent working on solutions with high integrity and a long term view. We will improve the lives of seniors by helping them navigate the health care system, by utilizing world-class technology and data to enable a simplified experience, by partnering with top providers for better health outcomes. We are building a stellar team to drive towards our starting point goal to launch a Medicare Advantage plan and clinical services in 2019.</p>

<p><strong>Why Devoted:</strong></p>

<p>Make a difference... a big difference. You will have the opportunity, in a unique and dynamic culture, to be a part of something incredibly meaningful. We’re a disruptive startup with an inspiring mission. Learn and grow alongside our world-class team of health care, technology, and data leaders, dedicated to building a health plan and clinical services that care for everyone like they were our own mothers or fathers. Our team and board members have decades of experience in health care entrepreneurship, data, technology, services, and policy. With their support, we look forward to building a health plan and clinical services that will give seniors easy access to the high-quality care they deserve.</p>

<p><strong>A bit more about this role:</strong></p>

<p>Technology does amazing things in our daily lives, yet often is a source of pain and confusion within health care.  We want to empower Devoted to deliver a world-class member experience with simple, flexible technical systems.  If we need to delve into the murky underbelly of health care IT to do that, we’re up for the challenge.  </p>

<p>Our north star is not a specific technology, but rather the goal of continually increasing the leverage of every member of the team. We’re currently building with Go, PostgreSQL, gRPC, GraphQL, React, TypeScript, Terraform, and AWS, and we think it’s a pretty awesome stack.</p>

<p>We want engineer-owners with the judgment to simultaneously solve for short and long-term business value.  We’re looking for folks who have worked in complex domains and systems, and come through it with some wisdom but most importantly humility.  We want people who are passionate about building great technology to solve problems for users—our members, our colleagues, and ourselves.</p>

<p>Whether you have a health care background or not, we are excited to learn from and share knowledge with you.  Our engineering leadership team includes seasoned alumni of health care and technology organizations spanning the public and private sector.  Our co-founders deeply understand and care about good technology:  Todd Park co-founded Athenahealth, a multi-billion-dollar health care technology company, and served as CTO of the U.S.; Ed Park was Athenahealth's founding engineer and served as its CTO, COO, and President of Services.</p>

<p><strong>Responsibilities will include:</strong></p>

<ul>
<li>Building product features across a range of technologies</li>
<li>Working with subject matter experts to understand and design solutions to improve our members lives</li>
<li>Working with other members of the technology team to improve our technology platform</li>
</ul><p><strong>Attributes to success:</strong></p>

<ul>
<li>Experience coupled with a willingness to learn new things</li>
<li>Comfort with uncertainty and a desire to be close to business problems</li>
<li>Desire to contribute individually, with the ability both to self-direct work and to collaborate with others on the technology team</li>
<li>Understanding of many technologies down to first principles, and a desire to add more to the list</li>
</ul><p><strong>Desired skills and experience:</strong></p>

<ul>
<li>5+ years working as an individual technical contributor</li>
<li>Experience with our specific stack components a bonus but not required</li>
<li>Bonus: Prior backgrounds in product management, UX or data science; we often ask folks to wear more than one hat</li>
</ul><p>If you love running towards complex challenges and transforming them into solutions, if you want to make a potentially huge impact on many lives, and if you are looking for a disruptive startup with an inspiring and talented team, Devoted Health may be the place for you.</p>",http://github-jobs.s3.amazonaws.com/014dfdaa-1c08-11e8-9300-2413c5146a21.png,http://jobs.github.com/positions/0a5b8912-1c08-11e8-81b7-fc4ebd0bf381,Github Jobs,"Data & Analytics, Entrepreneurship, User Experience, Leadership, Management, Productivity, Production, Industry, Design Thinking"
7,Senior Software Architect,Bites Media,"<p>About Bites:</p>

<p>Bites is an education technology company focused on personalized learning both within the news and traditional classroom instructional cycle. Through its two product offerings, Bites Media and Bites Labs, the company seeks to penetrate with offerings that complement each other from initial development to market offering.</p>

<p>Bites is searching far and wide for an awesome Lead Software Engineer! Based in Venice, Bites is a seed funded startup that focuses on personalized learning platforms — transforming the way teachers engage and support their students. You will be building out the architecture for our product offerings and helping to build a scalable team.</p>

<p>If that sounds like you, we'd love to talk to you!</p>

<p>Responsibilities:
Design and code innovative, scalable and robust features on both the backend and the web application layers.
Participate in all aspects of the project lifecycle, from ideation to specification to release.
Collaborate closely with small, nimble, cross-functional teams, product managers and designers.</p>

<p>Requirements:
A Bachelor’s degree in Computer Science or related degree.
4+ years hands on experience in full-stack software development and architecture. Prior management/mentorship experience.
Significant experience with at least one of the following programming languages: Python, Ruby, C#, PHP or Javascript.
Strong experience designing and working with relational databases (/MySQL/MSSQL).
Proficient front-end web development skills -- HTML/CSS/JS.
Strong experience building high scale and high performance applications.
DevOps experience building reliable applications through automated testing, continuous integration, monitoring, and analytics.
A solid grounding in Computer Science fundamentals, data structures, algorithms, and deftness at object-oriented design and systems architecture.</p>

<p>Leadership skills:
Have an ownership mentality.
Experienced as technical lead on a project.
Demonstrated experience mentoring other engineers.
Provide full-stack expertise to the engineering team.
Passionate about best practices on code quality and performance.
Ability to effectively communicate with technical and non-technical teams.
Ability to measure the risk of choosing a new technology from the point of view of delivering the product on time and training the team.
Strong work ethics and leads by example.
It bothers you if your software is buggy and doesn't perform optimally.</p>

<p>Bonus Points:
Experience with CSS Preprocessors (Sass or Less)
Experience with React, Backbone or any other JavaScript frameworks a major plus.
Experience giving technical mentorship and best practices training to peers.
Deep understanding of Agile software development lifecycle.
Interest and/or love of K-12 education.</p>",,http://jobs.github.com/positions/0a5c9c78-2183-11e8-876a-40ccbde1ead0,Github Jobs,"Computer Programming, Computer Science, Web Development, Programming Languages, Personal Transformation, Data & Analytics, Project Management, Databases, Software Testing, Communications, Web Design, Software Engineering, Leadership, Management, Marketing Fundamentals, Productivity, Media, Search Engine Optimization, Production, Analytics & Automation, Architectural Design, Other Programming, Product Marketing, Instructional Design"
8,Experienced Web Developers,Loco2,"<p>Loco2's mission is to make booking trains anywhere in Europe as easy and affordable as possible, from epic international adventures to everyday local commutes. Our booking coverage is unrivalled and growing.</p>

<p>We’re hiring two experienced web developers to join our existing team of six, where you’ll help rebuild the front-end of our website into a modern single-page application using React. We know React is a new technology, and we’re willing to consider anyone with demonstrable JavaScript experience and a desire to learn and grow.</p>

<p>At Loco2 we care deeply about building an inclusive, open and supportive work environment. We behave with respect for people and the planet and are seeking a diverse range of candidates that share these values.</p>

<p><strong>About us</strong></p>

<p>We're a <a href=""https://loco2.com/team"">small, passionate and cosmopolitan team</a>, with a healthy remote-first culture and an office based in London. Our success is built on trust, empathy and shared knowledge, with our users at the centre of what we do. <a href=""https://uk.trustpilot.com/review/loco2.com"">We're proud to have an average rating of 9.3 out of 10 on Trustpilot</a> after 22,000 reviews.</p>

<p>We’ve been selling tickets since 2012 (read our <a href=""https://loco2.com/our-story"">full story here</a>), and we’re growing rapidly as the business matures. Our goal is to scale effectively whilst continuing to delight our users.</p>

<p><em>Why join us?</em></p>

<ul>
<li>We have high codings standards, and follow best practices such as continuous testing and delivery</li>
<li>We strive to learn and improve together in a supportive environment as the wider tech ecosystem evolves</li>
<li>Our team enjoys a healthy work-life balance and don’t think caffeine-fuelled all-nighters are a good way to grow a company that’s built to last</li>
<li>We offer flexible hours and a well-designed remote working culture built on trust. Work around your schedule and when you’re most productive</li>
<li>Our days are not full of meetings and needless distractions, allowing others to achieve flow is a big part of supporting each other</li>
<li>Everyone is encouraged to ask questions, think creatively and suggest new working practices, we have a small team so your voice will be heard</li>
<li>You will be provided with a laptop and are empowered to make changes that improve your working environment</li>
</ul><p><strong>Tech stack and role description</strong></p>

<p>We’re transitioning our traditional multi-page application to a React-powered single-page application so our customers can enjoy a fast, reliable and consistent experience across all of their devices.</p>

<p>This role is focused on that challenge, working with experienced members of our existing team to help us separate concerns and scale effectively without succumbing to the <a href=""https://aadrake.com/posts/2017-05-20-enough-with-the-microservices.html"">potential pitfalls of a microservices approach</a>.</p>

<p>The new front-end will use modern technologies, including React, TypeScript, Redux and modular CSS. We know React is a new technology, and we’re willing to consider anyone with demonstrable JavaScript experience and a desire to learn and grow, with Ruby experience as a nice-to-have.</p>

<p>Whilst we don’t expect you to be a master of the following technologies, our current software stack consists of:</p>

<ul>
<li>A Ruby library for communicating with train booking APIs</li>
<li>A traditional multi-page web application written in Ruby on Rails, using CoffeeScript and SCSS</li>
<li>AWS hosted <a href=""http://www.jonathanleighton.com/articles/2016/loco2-infrastructure-overhaul/"">Docker infrastructure</a>, with continuous delivery</li>
<li>A hybrid iOS app written in Swift</li>
<li>A hybrid Android app written in Kotlin</li>
</ul><p><strong>About you</strong></p>

<p>An ideal candidate:</p>

<ul>
<li>Has 3+ years of professional web development experience</li>
<li>Deep knowledge and experience of JavaScript, HTML and CSS, and ideally Ruby (or a similar server-side language)</li>
<li>Is excited about the future of the web platform, the ever evolving JavaScript ecosystem and is motivated to help Loco2 adopt modern front-end technologies and processes</li>
<li>Takes pride in their craft and adheres to industry best practices such as testing, code linting, peer review and clean modular maintainable code</li>
<li>Has a keen appetite appetite for self-improvement and growth, but doesn't hesitate to ask for help when needed</li>
<li>Strives to discover and understand the root cause of problems, suggesting new and improved solutions, rather than treating the symptoms</li>
<li>Is fluent in English and confident communicating and sharing complex information and learnings with both technical and non-technical team members</li>
<li>Can work hours that have some overlap with London daytime</li>
<li>Is motivated by Loco2's mission</li>
</ul>",http://github-jobs.s3.amazonaws.com/f7dc7b88-083a-11e8-8c8f-3d9551a48cd2.png,http://jobs.github.com/positions/0a911cfc-f206-11e7-9f81-a318f4d6f68f,Github Jobs,"Web Development, Software Testing, Communications, Web Design, User Experience, Creativity, Motivation, Productivity, Production, English, Other Programming, Industry, Design Thinking"
9,Software Developer (Functional Programming),Jane Street,"<p>Software Developer </p>

<p>Jane Street is a proprietary quantitative trading firm, focusing primarily on trading equities and equity derivatives. We use innovative technology, a scientific approach, and a deep understanding of markets to stay successful in our highly competitive field. We operate around the clock and around the globe, employing over 500 people in offices in New York, London and Hong Kong.</p>

<p>The markets in which we trade change rapidly, but our intellectual approach changes faster still. Every day, we have new problems to solve and new theories to test. Our entrepreneurial culture is driven by our talented team of traders and programmers. At Jane Street, we don't come to work wanting to leave. We come to work excited to test new theories, have thought-provoking discussions, and maybe sneak in a game of ping-pong or two. Keeping our culture casual and our employees happy is of paramount importance to us.</p>

<p>We are looking to hire great software developers with an interest in functional programming. OCaml, a statically typed functional programming language with similarities to Haskell, Scheme, Erlang, F# and SML, is our language of choice. We've got the largest team of OCaml developers in any industrial setting, and probably the world's largest OCaml codebase. We use OCaml for running our entire business, supporting everything from research to systems administration to trading systems. If you're interested in seeing how functional programming plays out in the real world, there's no better place.</p>

<p>The atmosphere is informal and intellectual. There is a focus on education, and people learn about software and trading, both through formal classes and on the job. The work is challenging, and you get to see the practical impact of your efforts in quick and dramatic terms. Jane Street is also small enough that people have the freedom to get involved in many different areas of the business. Compensation is highly competitive, and there's a lot of room for growth.</p>

<p>You can learn more about Jane Street and our technology from our main site, janestreet.com. You can also look at a a talk given at CMU about why Jane Street uses functional programming (<a href=""http://ocaml.janestreet.com/?q=node/61"">http://ocaml.janestreet.com/?q=node/61</a>), and our programming blog (<a href=""http://ocaml.janestreet.com"">http://ocaml.janestreet.com</a>).</p>

<p>We also have extensive benefits, including:</p>

<ul>
<li>90% book reimbursement for work-related books</li>
<li>90% tuition reimbursement for continuing education</li>
<li>Excellent, zero-premium medical and dental insurance</li>
<li>Free lunch delivered daily from a selection of restaurants</li>
<li>Catered breakfasts and fresh brewed Peet's coffee</li>
<li>An on-site, private gym in New York with towel service</li>
<li>Kitchens fully stocked with a variety of snack choices</li>
<li>Full company 401(k) match up to 6% of salary, vests immediately</li>
</ul><p>More information at <a href=""http://janestreet.com/culture/benefits/"">http://janestreet.com/culture/benefits/</a></p>",http://github-jobs.s3.amazonaws.com/dba43940-0b39-11e3-83c2-8c287f4c9d67.jpeg,http://jobs.github.com/positions/0a9333c4-71da-11e0-9ac7-692793c00b45,Github Jobs,"Probability, Programming Languages, Operating Systems, Software Testing, Game Development, Operations, Other Programming, Happiness, Gaming, Industry"
