,Subject,Provider,Image,Courses
0,statistics probability,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/random_variables.png-9a60cf-128c.png,"Analyzing categorical data;Displaying and comparing quantitative data;Summarizing quantitative data;Modeling data distributions;Exploring bivariate numerical data;Study design;Probability;Counting, permutations, and combinations;Random variables;Sampling distributions;Confidence intervals;Significance tests (hypothesis testing);Two-sample inference for the difference between groups;Inference for categorical data (chi-square tests);Advanced regression (inference and transforming);Analysis of variance (ANOVA)"
1,probability,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/probability.png-0e7373-128c.png,Scatterplots;Data distributions;Two-way tables;Binomial probability;Normal distributions
2,multivariable calculus,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/multivariable_calculus.png-ac2283-128c.png,"Thinking about multivariable functions;Derivatives of multivariable functions;Applications of multivariable derivatives;Integrating multivariable functions;Green's, Stokes', and the divergence theorems"
3,differential equations,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/first_order_diff_equations.png-09c1fe-128c.png,First order differential equations;Second order linear equations;Laplace transform
4,linear algebra,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/linear_algebra.png-341940-128c.png,Vectors and spaces;Matrix transformations;Alternate coordinate systems (bases)
5,physics,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/light_waves.png-259787-128c.png,"One-dimensional motion;Two-dimensional motion;Forces and Newton's laws of motion;Centripetal force and gravitation;Work and energy;Impacts and linear momentum;Torque and angular momentum;Oscillations and mechanical waves;Fluids;Thermodynamics;Electric charge, field, and potential;Circuits;Magnetic forces, magnetic fields, and Faraday's law;Electromagnetic waves and interference;Geometric optics;Special relativity ;Quantum Physics;Discoveries and projects;Review for AP Physics 1 exam;Cosmology and astronomy"
6,chemistry,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/atom.png-e81d05-128c.png,"Atoms, compounds, and ions;Chemical reactions and stoichiometry;Electronic structure of atoms;Periodic table;Chemical bonds;Gases and kinetic molecular theory;States of matter and intermolecular forces;Chemical equilibrium;Acids and bases;Buffers, titrations, and solubility equilibria;Redox reactions and electrochemistry;Kinetics;Nuclear chemistry;Studying for the AP Chemistry exam?;Meet the chemistry professional;Organic chemistry;Alkanes, cycloalkanes, and functional groups"
7,organic chemistry,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/alcohols_ethers_epoxides_sulfides.png-02974e-128c.png,"Structure and bonding;Resonance and acid-base chemistry;Stereochemistry;Substitution and elimination reactions;Alkenes and alkynes;Alcohols, ethers, epoxides, sulfides;Conjugated systems and pericyclic reactions;Aromatic compounds;Aldehydes and ketones;Carboxylic acids and derivatives;Alpha carbon chemistry;Amines;Spectroscopy"
8,biology,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/biology.png-8fe25b-128c.png,"Intro to biology;Chemistry of life;Water, acids, and bases;Properties of carbon;Macromolecules;Energy and enzymes;Structure of a cell;Membranes and transport;Cellular respiration;Photosynthesis;Cell signaling;Cell division;Classical and molecular genetics;DNA as the genetic material;Central dogma (DNA to RNA to protein);Gene regulation;Biotechnology;Developmental biology;Bacteria and archaea;Viruses;Evolution and the tree of life;History of life on Earth;Ecology;Biodiversity and conservation;Behavioral biology;Principles of physiology;Human biology;Plant biology;Crash Course: Biology and Ecology;Meet the biology professional"
9,high school biology,Khan Academy,https://cdn.kastatic.org/genfiles/topic-icons/icons/science.png-3b6492-128c.png,Biology foundations;Cells;Cellular transport;Energy and metabolism;Reproduction and cell division;Human body systems
