,Subject,Provider,Image,Courses
0,Web Development,Udemy,https://udemy-images.udemy.com/course/125_H/1563268_6bc6.jpg,"215,216,217,219,224,229,230,233,237,240,241,259,263,265,269,272,273,277,281,282,286,295,302,305,306,310,320,322,326,330,338,340,348,355,358,359,361,365,373,380,390,396,399,408,413,417,418,421,427,430,438,449,450,460,474,480,485,490,497,502,544,546,554,561,568,570,590,593,608,611,618,641,647,691,716,723,726,736,755,756,771,773,774,784,816,829,848,865,869,878,881,884,913,915,918,922,926,950,954,957,968,976,977,986,993,1036,1037,1050,1054,1058,1085,1086,1090,1098,1102,1103,1112,1119,1131,1138,1143,1146,1168,1170,1172,1174,1183,1202,1203,1206,1207,1227,1229,1235,1247,1263,1277,1283,1284,1295,1315,1319,1328,1362,1363,1367,1372,1379,1384,1388,1406,1409,1414,1418,1439,1441,1462,1491,1553,1560,1561,1581,1583,1594,1617,1630,1631,1634,1644,1648,1690,1693,1695,1697,1721,1725,1733,1746,1749,1771,1777,1798,1819,1825,1830,1834,1852,1859,1877,1881,1886,1889,1921,1928,1929,1937,1938,1939,1946,1954,1961,1969,1983,1987,1994,2026,2027,2029,2048,2051,2063,2064,2083,2094,2105,2108,2119,2132,2136,2137,2155,2157,2159,2170,2174,2175,2176,2183,2200,2204,2206,2209,2211,2234,2235,2238,2248,2255,2256,2264,2285,2299,2304,2312,2346,2349,2356,2366,2367,2386,2391,2399,2413,2415,2417,2449,2465,2470,2472,2488,2489,2512,2517,2522,2528,2530,2532,2545,2549,2553,2554,2582,2592,2617,2628,2629,2635,2641,2646,2658,2661,2663,2667,2690,2714,2715,2721,2726,2733,2734,2742,2746,2763"
1,Other,Udemy,https://udemy-images.udemy.com/course/125_H/1486896_e870.jpg,"218,317,366,401,456,488,525,549,596,598,661,679,696,734,786,792,793,805,807,815,840,879,896,1003,1011,1019,1026,1057,1069,1114,1117,1149,1158,1175,1194,1200,1223,1237,1239,1243,1245,1250,1261,1303,1397,1422,1445,1469,1484,1522,1526,1529,1534,1538,1548,1556,1557,1572,1579,1585,1588,1606,1610,1637,1654,1677,1684,1700,1708,1727,1734,1737,1802,1813,1848,1855,1885,1908,1917,1933,1956,1957,1965,2000,2001,2013,2053,2140,2144,2151,2334,2358,2388,2428,2454,2455,2474,2510,2538,2560,2566,2579,2583,2606,2624,2626,2696,2723,2739"
2,Programming Languages,Udemy,https://udemy-images.udemy.com/course/125_H/326074_939d_2.jpg,"220,221,231,234,260,294,309,342,372,387,395,397,409,411,443,463,476,487,503,513,516,517,534,535,539,547,555,563,565,574,606,620,632,634,638,663,669,675,692,698,719,720,722,738,739,748,765,768,777,809,811,824,837,847,856,880,892,908,914,916,932,934,952,973,979,985,987,998,1016,1046,1068,1091,1154,1180,1182,1198,1221,1225,1271,1273,1289,1320,1342,1358,1376,1446,1448,1464,1465,1476,1508,1510,1515,1517,1523,1530,1540,1546,1550,1551,1552,1584,1608,1626,1640,1641,1643,1673,1752,1763,1790,1806,1816,1817,1836,1847,1856,1858,1880,1907,1910,1926,1934,1949,1951,1968,1974,1982,1989,2003,2028,2077,2101,2114,2120,2127,2154,2167,2181,2202,2229,2265,2268,2278,2287,2307,2310,2319,2323,2352,2357,2404,2411,2425,2486,2504,2511,2516,2519,2520,2555,2557,2561,2604,2613,2645,2647,2675,2680,2681,2685,2687,2698,2700,2704,2713,2716,2745,2748,2750,2755"
3,Personal Transformation,Udemy,https://udemy-images.udemy.com/course/125_H/1454586_b712.jpg,"222,225,288,321,367,402,504,507,510,541,572,575,610,613,664,672,674,710,778,821,827,876,995,1001,1052,1077,1122,1176,1178,1219,1279,1287,1290,1369,1378,1393,1427,1558,1576,1831,1846,1900,1986,1995,2103,2280,2336,2401,2414,2420,2440,2543,2586,2711,2727"
4,Personal Finance,Udemy,https://udemy-images.udemy.com/course/125_H/1327966_e585_8.jpg,"223,363,484,779,801,826,936,1089,1447,1492,1500,1563,1739,2097,2308,2402,2596"
5,Data & Analytics,Udemy,https://udemy-images.udemy.com/course/125_H/1533864_a443.jpg,"226,232,239,244,245,257,270,275,276,278,283,285,299,304,319,328,329,331,334,344,357,379,381,382,383,392,419,420,437,454,455,457,459,472,473,483,489,494,529,552,573,586,591,619,643,673,677,701,729,750,770,814,817,911,942,1027,1111,1128,1171,1190,1317,1332,1410,1424,1429,1460,1463,1466,1488,1496,1516,1532,1646,1795,1809,1870,1947,2021,2050,2273,2473,2506,2508,2518,2527,2591,2610"
6,Memory & Study Skills,Udemy,https://udemy-images.udemy.com/course/125_H/1330590_3cb3.jpg,"227,407,781,862,927,1020,1334,1352,1421,1454,1470,1509,1669,1686,1941,2039,2257,2339,2456,2497"
7,Home Business,Udemy,https://udemy-images.udemy.com/course/125_H/1218414_116e_3.jpg,"228,360,599,615,670,699,751,818,946,1076,1215,1224,1232,1244,1254,1299,1311,1402,1535,1589,1614,1723,1740,1785,1879,1890,1909,2096,2115,2217,2222,2246,2298,2335,2370,2451,2460,2540,2542,2574,2599,2657,2719,2730,2757,2764"
8,Operating Systems,Udemy,https://udemy-images.udemy.com/course/125_H/1468236_503a.jpg,"235,368,384,458,578,628,693,700,712,744,761,841,842,1157,1195,1318,1337,1472,1603,1605,1761,1803,1894,1980,2002,2046,2122,2252,2271,2317,2478,2529,2567,2578,2633,2639,2654,2666,2671,2738"
9,Mobile Apps,Udemy,https://udemy-images.udemy.com/course/125_H/1512578_b4eb_2.jpg,"236,261,297,298,336,403,435,445,479,482,509,528,532,550,567,569,609,623,629,630,633,648,651,668,694,695,705,764,845,863,890,929,965,983,996,999,1038,1072,1092,1169,1184,1187,1191,1201,1262,1288,1309,1355,1356,1386,1404,1415,1432,1461,1468,1471,1542,1575,1691,1715,1748,1765,1801,1837,1876,1898,1901,1924,1943,2006,2017,2166,2210,2240,2261,2338,2416,2426,2463,2585,2588,2614,2623,2651,2656,2669,2683,2686,2699"
