,Subject,Provider,Image,Courses
0,Web Development,Udemy,https://www.udemy.com/courses/Development/Web-Development/,Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development;Web Development
1,Other,Udemy,https://www.udemy.com/courses/IT-and-Software/Other/,Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other;Other
2,Programming Languages,Udemy,https://www.udemy.com/courses/Development/Programming-Languages/,Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages;Programming Languages
3,Personal Transformation,Udemy,https://www.udemy.com/courses/Personal-Development/Personal-Transformation/,Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation;Personal Transformation
4,Personal Finance,Udemy,https://www.udemy.com/courses/Personal-Development/Personal-Finance/,Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance;Personal Finance
5,Data & Analytics,Udemy,https://www.udemy.com/courses/Business/Data-and-Analytics/,Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics;Data & Analytics
6,Memory & Study Skills,Udemy,https://www.udemy.com/courses/Personal-Development/Memory-and-Study-Skills/,Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills;Memory & Study Skills
7,Home Business,Udemy,https://www.udemy.com/courses/Business/Home-Business/,Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business;Home Business
8,Operating Systems,Udemy,https://www.udemy.com/courses/IT-and-Software/Operating-Systems/,Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems;Operating Systems
9,Mobile Apps,Udemy,https://www.udemy.com/courses/Development/Mobile-Apps/,Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps;Mobile Apps
